source,id,Lat,Lon,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,2022 Root length (cm),2022 Upper root width (mm),2022 Middle root width(mm),2022 Weight per root  (g),2022 Root yields (kg/mu),2022 Calycosin-7-glucoside (C7G) content (%),2022 Astragaloside IV (AIV) content (%),2022 Astragalus polysaccharides (APS) content (%),2023 Root length (cm),2023 Upper root width (mm),2023 Middle root width(mm),2023 Weight per root  (g),2023 Root yields (kg/mu),2023 Calycosin-7-glucoside (C7G) content (%),2023 Astragaloside IV (AIV) content (%),2023 Astragalus polysaccharides (APS) content (%)
1,1月1日,41.1,111.45,3.262500048,13.75833321,28.78312492,1265.814697,25.5,-22.29999924,47.79999924,18.06666565,-13.21666622,18.06666565,-13.21666622,287,85,2,114.2286148,193,7,193,7,29.37,6.78,5.44,3.29,161.200806,0.039263361,0.299569965,8.16,41.9,9.7285,8.4825,6.765,360.0018,0.03140113,0.570798456,5
1,2月1日,41.1,111.45,3.262500048,13.75833321,28.78312492,1265.814697,25.5,-22.29999924,47.79999924,18.06666565,-13.21666622,18.06666565,-13.21666622,287,85,2,114.2286148,193,7,193,7,28.15,7.01,5.79,3.97,192.600963,0.040152165,0.278652607,7.61,44.66,9.42,8.25,8.31,280.0014,0.102266812,0.516669025,5.25
1,3月1日,41.1,111.45,3.262500048,13.75833321,28.78312492,1265.814697,25.5,-22.29999924,47.79999924,18.06666565,-13.21666622,18.06666565,-13.21666622,287,85,2,114.2286148,193,7,193,7,28.71,4.39,3.45,3.22,149.800749,0.031233607,0.273188978,8.34,48.29,10.41,9.31,6.62,304.00152,0.071896847,0.564024669,5.16
2,1月2日,41.09,108.27,7.179166794,12.72499943,27.36559105,1246.991699,29.10000038,-17.39999962,46.5,20,-8.866666794,21.85000038,-8.866666794,192,53,1,109.0437164,129,6,125,6,34.4,5.41,4.31,1.67,81.800409,0.043585314,0.375667422,7.79,54.735,6.678,5.557,4.46,233.3345,0.083964158,0.512924134,5.33
2,2月2日,41.09,108.27,7.179166794,12.72499943,27.36559105,1246.991699,29.10000038,-17.39999962,46.5,20,-8.866666794,21.85000038,-8.866666794,192,53,1,109.0437164,129,6,125,6,32.35,5.16,4.06,2.535,117.400587,0.042479077,0.322125308,8.16,48.64,5.82,4.72,5.015,200.001,0.077097017,0.501510818,5.21
2,3月2日,41.09,108.27,7.179166794,12.72499943,27.36559105,1246.991699,29.10000038,-17.39999962,46.5,20,-8.866666794,21.85000038,-8.866666794,192,53,1,109.0437164,129,6,125,6,34.5,6.01,4.87,2.325,116.00058,0.032946367,0.445001081,7.68,55.08,5.88,4.71,5.92,158.66746,0.048459632,0.52898909,5.17
3,1月3日,38.83,105.67,7.866666794,13.76666641,30.79791069,1156.783081,29.10000038,-15.60000038,44.70000076,19.79999924,-7.116666794,21.46666718,-7.116666794,207,50,1,91.39432526,122,5,120,5,29.41,4.58,3.63,2.71,140.0007,0.027117643,0.171338707,8.42,38.195,7.3075,6.1135,6.18,190.66762,0.050150902,0.417593985,5.39
3,2月3日,38.83,105.67,7.866666794,13.76666641,30.79791069,1156.783081,29.10000038,-15.60000038,44.70000076,19.79999924,-7.116666794,21.46666718,-7.116666794,207,50,1,91.39432526,122,5,120,5,28.43,5.11,3.84,3.64,160.400802,0.024432157,0.170953681,8.48,44.94,7.3,6.1,6.12,174.00087,0.030256607,0.331177691,5.13
3,3月3日,38.83,105.67,7.866666794,13.76666641,30.79791069,1156.783081,29.10000038,-15.60000038,44.70000076,19.79999924,-7.116666794,21.46666718,-7.116666794,207,50,1,91.39432526,122,5,120,5,31.73,6.91,5.58,3.54,177.200886,0.043310662,0.165666205,9.08,48.37,7.88,6.69,6.54,193.3343,0.034083835,0.325223995,5.22
4,1月4日,41.54,111.71,3.558333397,13.13333321,27.13498497,1322.34436,26.20000076,-22.20000076,48.40000153,19.01666641,-13.6833334,19.01666641,-13.6833334,234,76,1,117.4881744,161,5,161,5,26.48,6.42,4.61,4.045,183.200916,0.049269083,0.158862031,9.21,39.1,8.223,7.052,6.14,146.6674,0.049852014,0.446162466,3.15
