source	id	Lat	Lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	2022 Root length (cm)	2022 Upper root width (mm)	2022 Middle root width(mm)	2022 Weight per root  (g)	2022 Root yields (kg/mu)	2022 Calycosin-7-glucoside (C7G) content (%)	2022 Astragaloside IV (AIV) content (%)	2022 Astragalus polysaccharides (APS) content (%)	2023 Root length (cm)	2023 Upper root width (mm)	2023 Middle root width(mm)	2023 Weight per root  (g)	2023 Root yields (kg/mu)	2023 Calycosin-7-glucoside (C7G) content (%)	2023 Astragaloside IV (AIV) content (%)	2023 Astragalus polysaccharides (APS) content (%)
1	1-1	41.1	111.45	3.26250004768372	13.7583332061768	28.7831249237061	1265.81469726562	25.5	-22.29999924	47.7999992370605	18.0666656494141	-13.21666622	18.0666656494141	-13.21666622	287	85	2	114.228614807129	193	7	193	7	29.37	6.78	5.44	3.29	161.200806	0.039263361	0.299569965	8.16	41.9	9.7285	8.4825	6.765	360.0018	0.03140113	0.570798456	5
1	2-1	41.1	111.45	3.26250004768372	13.7583332061768	28.7831249237061	1265.81469726562	25.5	-22.29999924	47.7999992370605	18.0666656494141	-13.21666622	18.0666656494141	-13.21666622	287	85	2	114.228614807129	193	7	193	7	28.15	7.01	5.79	3.97	192.600963	0.040152165	0.278652607	7.61	44.66	9.42	8.25	8.31	280.0014	0.102266812	0.516669025	5.25
1	3-1	41.1	111.45	3.26250004768372	13.7583332061768	28.7831249237061	1265.81469726562	25.5	-22.29999924	47.7999992370605	18.0666656494141	-13.21666622	18.0666656494141	-13.21666622	287	85	2	114.228614807129	193	7	193	7	28.71	4.39	3.45	3.22	149.800749	0.031233607	0.273188978	8.34	48.29	10.41	9.31	6.62	304.00152	0.071896847	0.564024669	5.16
2	1-2	41.09	108.27	7.17916679382324	12.7249994277954	27.3655910491943	1246.99169921875	29.1000003814697	-17.39999962	46.5	20	-8.866666794	21.8500003814697	-8.866666794	192	53	1	109.043716430664	129	6	125	6	34.40	5.41	4.31	1.67	81.800409	0.043585314	0.375667422	7.79	54.735	6.678	5.557	4.46	233.3345	0.083964158	0.512924134	5.33
2	2-2	41.09	108.27	7.17916679382324	12.7249994277954	27.3655910491943	1246.99169921875	29.1000003814697	-17.39999962	46.5	20	-8.866666794	21.8500003814697	-8.866666794	192	53	1	109.043716430664	129	6	125	6	32.35	5.16	4.06	2.535	117.400587	0.042479077	0.322125308	8.16	48.64	5.82	4.72	5.015	200.001	0.077097017	0.501510818	5.21
2	3-2	41.09	108.27	7.17916679382324	12.7249994277954	27.3655910491943	1246.99169921875	29.1000003814697	-17.39999962	46.5	20	-8.866666794	21.8500003814697	-8.866666794	192	53	1	109.043716430664	129	6	125	6	34.50	6.01	4.87	2.325	116.00058	0.032946367	0.445001081	7.68	55.08	5.88	4.71	5.92	158.66746	0.048459632	0.52898909	5.17
3	1-3	38.83	105.67	7.86666679382324	13.7666664123535	30.7979106903076	1156.78308105469	29.1000003814697	-15.60000038	44.7000007629395	19.7999992370605	-7.116666794	21.466667175293	-7.116666794	207	50	1	91.3943252563477	122	5	120	5	29.41	4.58	3.63	2.71	140.0007	0.027117643	0.171338707	8.42	38.195	7.3075	6.1135	6.18	190.66762	0.050150902	0.417593985	5.39
3	2-3	38.83	105.67	7.86666679382324	13.7666664123535	30.7979106903076	1156.78308105469	29.1000003814697	-15.60000038	44.7000007629395	19.7999992370605	-7.116666794	21.466667175293	-7.116666794	207	50	1	91.3943252563477	122	5	120	5	28.43	5.11	3.84	3.64	160.400802	0.024432157	0.170953681	8.48	44.94	7.30	6.10	6.12	174.00087	0.030256607	0.331177691	5.13
3	3-3	38.83	105.67	7.86666679382324	13.7666664123535	30.7979106903076	1156.78308105469	29.1000003814697	-15.60000038	44.7000007629395	19.7999992370605	-7.116666794	21.466667175293	-7.116666794	207	50	1	91.3943252563477	122	5	120	5	31.73	6.91	5.58	3.54	177.200886	0.043310662	0.165666205	9.08	48.37	7.88	6.69	6.54	193.3343	0.034083835	0.325223995	5.22
4	1-4	41.54	111.71	3.55833339691162	13.1333332061768	27.1349849700928	1322.34436035156	26.2000007629395	-22.20000076	48.4000015258789	19.0166664123535	-13.6833334	19.0166664123535	-13.6833334	234	76	1	117.488174438477	161	5	161	5	26.48	6.42	4.61	4.045	183.200916	0.049269083	0.158862031	9.21	39.1	8.223	7.052	6.14	146.6674	0.049852014	0.446162466	3.15
4	2-4	41.54	111.71	3.55833339691162	13.1333332061768	27.1349849700928	1322.34436035156	26.2000007629395	-22.20000076	48.4000015258789	19.0166664123535	-13.6833334	19.0166664123535	-13.6833334	234	76	1	117.488174438477	161	5	161	5	39.41	6.62	5.41	2.26	102.200511	0.045919855	0.215200712	9.67	52.06	7.88	6.71	5.61	213.3344	0.040290019	0.283467982	3.03
4	3-4	41.54	111.71	3.55833339691162	13.1333332061768	27.1349849700928	1322.34436035156	26.2000007629395	-22.20000076	48.4000015258789	19.0166664123535	-13.6833334	19.0166664123535	-13.6833334	234	76	1	117.488174438477	161	5	161	5	29.94	6.60	5.03	3.505	165.600828	0.036226931	0.183893765	9.1	50.08	7.61	6.40	5.54	180.0009	0.046644432	0.274442071	3.02
5	1-5	41.15	114.72	4.67500019073486	12.6000003814697	27.937915802002	1251.82507324219	26	-19.10000038	45.0999984741211	19.283332824707	-11.44999981	19.283332824707	-11.44999981	396	100	3	95.8480606079102	240	12	240	12	30.37	3.99	3.05	2.525	125.200626	0.044805989	0.225708781	7.62	41.07	8.4225	7.2285	6.525	293.3348	0.042581496	0.422595505	5.57
5	2-5	41.15	114.72	4.67500019073486	12.6000003814697	27.937915802002	1251.82507324219	26	-19.10000038	45.0999984741211	19.283332824707	-11.44999981	19.283332824707	-11.44999981	396	100	3	95.8480606079102	240	12	240	12	31.43	5.48	4.18	2.305	109.000545	0.033228648	0.19234456	8.05	47.14	10.21	9.04	7.305	313.3349	0.035813985	0.349697339	5.56
5	3-5	41.15	114.72	4.67500019073486	12.6000003814697	27.937915802002	1251.82507324219	26	-19.10000038	45.0999984741211	19.283332824707	-11.44999981	19.283332824707	-11.44999981	396	100	3	95.8480606079102	240	12	240	12	31.81	3.91	3.03	3.255	171.200856	0.023753157	0.204068637	8.48	50.51	9.45	8.28	6.705	286.6681	0.032497054	0.352275979	5.86
6	1-6	39.69	113.7	6.74166679382324	13.4499998092651	30.3611736297607	1158.60583496094	26.8999996185303	-17.39999962	44.2999992370605	20.2000007629395	-8.333333015	20.2000007629395	-8.333333015	383	110	2	105.767051696777	246	11	246	11	40.40	6.50	4.98	4.625	216.00108	0.03032573	0.1648584	7.72	52.1365	8.553125	7.335975	6.075	286.6681	0.067022295	0.40413941	6.31
6	2-6	39.69	113.7	6.74166679382324	13.4499998092651	30.3611736297607	1158.60583496094	26.8999996185303	-17.39999962	44.2999992370605	20.2000007629395	-8.333333015	20.2000007629395	-8.333333015	383	110	2	105.767051696777	246	11	246	11	41.65	6.22	5.12	3.335	146.600733	0.032305512	0.221069378	7.74	57.98	9.09	7.91	6.335	260.0013	0.065994411	0.396458063	6.1
6	3-6	39.69	113.7	6.74166679382324	13.4499998092651	30.3611736297607	1158.60583496094	26.8999996185303	-17.39999962	44.2999992370605	20.2000007629395	-8.333333015	20.2000007629395	-8.333333015	383	110	2	105.767051696777	246	11	246	11	42.72	5.74	4.95	3.455	176.800884	0.029810757	0.177137814	7.1	59.95	9.60	8.08	6.68	326.6683	0.03309969	0.371778487	6.17
7	1-7	38.91	111.85	5.49166679382324	14.1999998092651	31.838565826416	1133.74450683594	25.7999992370605	-18.79999924	44.5999984741211	16.8500003814697	-9.366666794	18.6166667938232	-9.366666794	461	121	3	105.950675964355	296	11	291	11	27.68	5.07	3.94	3.08	155.800779	0.037485752	0.161772825	9.6	39.86	7.447	6.2685	6.08	160.0008	0.074295243	0.511473181	4.27
7	2-7	38.91	111.85	5.49166679382324	14.1999998092651	31.838565826416	1133.74450683594	25.7999992370605	-18.79999924	44.5999984741211	16.8500003814697	-9.366666794	18.6166667938232	-9.366666794	461	121	3	105.950675964355	296	11	291	11	29.74	6.88	5.71	3.135	147.200736	0.061159222	0.18552027	9.57	47.70	8.51	7.30	6.635	260.0013	0.074978069	0.553737603	3.66
7	3-7	38.91	111.85	5.49166679382324	14.1999998092651	31.838565826416	1133.74450683594	25.7999992370605	-18.79999924	44.5999984741211	16.8500003814697	-9.366666794	18.6166667938232	-9.366666794	461	121	3	105.950675964355	296	11	291	11	29.37	5.01	3.78	2.92	154.200771	0.042021324	0.180881381	9.31	50.55	8.22	7.12	6.52	220.0011	0.052388919	0.454412808	3.46
8	1-8	36.2	113.44	9.15416622161865	11.7416667938232	30.9806499481201	995.851501464844	26.8999996185303	-11	37.9000015258789	19.3833332061768	-3.700000048	21	-3.700000048	637	169	5	99.2259750366211	387	18	384	18	39.15	6.10	4.58	3.165	161.200806	0.036661797	0.182323091	8.13	48.825	8.5745	7.453	6.665	260.0013	0.091499544	0.540116665	3.96
8	2-8	36.2	113.44	9.15416622161865	11.7416667938232	30.9806499481201	995.851501464844	26.8999996185303	-11	37.9000015258789	19.3833332061768	-3.700000048	21	-3.700000048	637	169	5	99.2259750366211	387	18	384	18	31.00	5.45	4.21	3.22	150.200751	0.044237612	0.194388835	8.11	49.72	8.23	7.12	6.22	190.00095	0.065097746	0.504571214	3.8
8	3-8	36.2	113.44	9.15416622161865	11.7416667938232	30.9806499481201	995.851501464844	26.8999996185303	-11	37.9000015258789	19.3833332061768	-3.700000048	21	-3.700000048	637	169	5	99.2259750366211	387	18	384	18	31.06	6.40	5.20	3.755	168.200841	0.034605722	0.193173235	8.87	50.80	9.00	7.81	7.255	200.001	0.063965373	0.52187829	3.77
9	1-9	37.33	113.57	7.49583339691162	13.0749998092651	32.4441680908203	1038.55554199219	26.1000003814697	-14.19999981	40.2999992370605	18.1000003814697	-5.949999809	19.7666664123535	-5.949999809	565	168	3	108.321624755859	361	13	356	13	30.51	5.27	4.31	2.915	148.200741	0.052953996	0.185376166	8.32	42.89	9.3695	8.1755	7.915	346.6684	0.076275682	0.385753024	4.54
9	2-9	37.33	113.57	7.49583339691162	13.0749998092651	32.4441680908203	1038.55554199219	26.1000003814697	-14.19999981	40.2999992370605	18.1000003814697	-5.949999809	19.7666664123535	-5.949999809	565	168	3	108.321624755859	361	13	356	13	28.10	5.67	4.36	3.35	156.600783	0.049009689	0.163664201	8.53	46.38	9.66	8.47	7.85	320.0016	0.061076119	0.431188017	4.52
9	3-9	37.33	113.57	7.49583339691162	13.0749998092651	32.4441680908203	1038.55554199219	26.1000003814697	-14.19999981	40.2999992370605	18.1000003814697	-5.949999809	19.7666664123535	-5.949999809	565	168	3	108.321624755859	361	13	356	13	29.08	3.68	2.82	4.12	201.001005	0.049082167	0.237071651	8.21	53.17	9.80	8.58	7.12	213.3344	0.037830873	0.423971096	4.48
10	1-10	35.57	106.03	6.04583358764648	10.5583333969116	30.1666660308838	890.899597167969	22.8999996185303	-12.10000038	35	15.5500001907349	-5.300000191	16.7333335876465	-5.300000191	505	100	3	82.6719131469727	276	13	252	13	34.39	6.04	3.64	3.55	185.400927	0.050249437	0.177965584	7.68	46.87	9.106	7.492	7.05	226.6678	0.085738048	0.731742635	5.26
